Date,High,Low,Open,Close,Volume,Adj Close
2012-06-18,1.0,1.0,1.0,1.0,0.0,1.0
2012-06-19,1.0,1.0,1.0,1.0,0.0,1.0
2012-06-20,1.0,1.0,1.0,1.0,0.0,1.0
2012-06-21,1.0,1.0,1.0,1.0,0.0,1.0
2012-06-22,1.0,1.0,1.0,1.0,0.0,1.0
2012-06-25,1.0,1.0,1.0,1.0,0.0,1.0
2012-06-26,1.0,1.0,1.0,1.0,0.0,1.0
2012-06-27,1.0,1.0,1.0,1.0,0.0,1.0
2012-06-28,1.0,1.0,1.0,1.0,0.0,1.0
2012-06-29,1.0,1.0,1.0,1.0,0.0,1.0
2012-07-02,1.0,1.0,1.0,1.0,0.0,1.0
2012-07-03,1.0,1.0,1.0,1.0,0.0,1.0
2012-07-05,1.0,1.0,1.0,1.0,0.0,1.0
2012-07-06,1.0,1.0,1.0,1.0,0.0,1.0
2012-07-09,1.0,1.0,1.0,1.0,0.0,1.0
2012-07-10,1.0,1.0,1.0,1.0,0.0,1.0
2012-07-11,1.0,1.0,1.0,1.0,0.0,1.0
2012-07-12,1.0,1.0,1.0,1.0,0.0,1.0
2012-07-13,1.0,1.0,1.0,1.0,0.0,1.0
2012-07-16,1.0,1.0,1.0,1.0,0.0,1.0
2012-07-17,1.0,1.0,1.0,1.0,0.0,1.0
2012-07-18,1.0,1.0,1.0,1.0,0.0,1.0
2012-07-19,1.0,1.0,1.0,1.0,0.0,1.0
2012-07-20,1.0,1.0,1.0,1.0,0.0,1.0
2012-07-23,1.0,1.0,1.0,1.0,0.0,1.0
2012-07-24,1.0,1.0,1.0,1.0,0.0,1.0
2012-07-25,1.0,1.0,1.0,1.0,0.0,1.0
2012-07-26,1.0,1.0,1.0,1.0,0.0,1.0
2012-07-27,1.0,1.0,1.0,1.0,0.0,1.0
2012-07-30,1.0,1.0,1.0,1.0,0.0,1.0
2012-07-31,1.0,1.0,1.0,1.0,0.0,1.0
2012-08-01,1.0,1.0,1.0,1.0,0.0,1.0
2012-08-02,1.0,1.0,1.0,1.0,0.0,1.0
2012-08-03,1.0,1.0,1.0,1.0,0.0,1.0
2012-08-06,1.0,1.0,1.0,1.0,0.0,1.0
2012-08-07,1.0,1.0,1.0,1.0,0.0,1.0
2012-08-08,1.0,1.0,1.0,1.0,0.0,1.0
2012-08-09,1.0,1.0,1.0,1.0,0.0,1.0
2012-08-10,1.0,1.0,1.0,1.0,0.0,1.0
2012-08-13,1.0,1.0,1.0,1.0,0.0,1.0
2012-08-14,1.0,1.0,1.0,1.0,0.0,1.0
2012-08-15,1.0,1.0,1.0,1.0,0.0,1.0
2012-08-16,1.0,1.0,1.0,1.0,0.0,1.0
2012-08-17,1.0,1.0,1.0,1.0,0.0,1.0
2012-08-20,1.0,1.0,1.0,1.0,0.0,1.0
2012-08-21,1.0,1.0,1.0,1.0,0.0,1.0
2012-08-22,1.0,1.0,1.0,1.0,0.0,1.0
2012-08-23,1.0,1.0,1.0,1.0,0.0,1.0
2012-08-24,1.0,1.0,1.0,1.0,0.0,1.0
