Date,High,Low,Open,Close,Volume,Adj Close
2012-09-25,0.4375,0.4375,0.4375,0.4375,0.0,-6536851095552.0
2012-09-26,0.4375,0.4375,0.4375,0.4375,0.0,-6536851095552.0
2012-09-27,0.4375,0.4375,0.4375,0.4375,0.0,-6536851095552.0
2012-09-28,0.4375,0.4375,0.4375,0.4375,0.0,-6536851095552.0
2012-10-01,0.4375,0.4375,0.4375,0.4375,0.0,-6536851095552.0
2012-10-02,0.4375,0.4375,0.4375,0.4375,0.0,-6536851095552.0
2012-10-03,0.4375,0.4375,0.4375,0.4375,0.0,-6536851095552.0
2012-10-04,0.4375,0.4375,0.4375,0.4375,0.0,-6536851095552.0
2012-10-05,0.4375,0.4375,0.4375,0.4375,0.0,-6536851095552.0
2012-10-08,0.4375,0.4375,0.4375,0.4375,0.0,-6536851095552.0
2012-10-09,0.4375,0.4375,0.4375,0.4375,0.0,-6536851095552.0
2012-10-10,0.4375,0.4375,0.4375,0.4375,0.0,-6536851095552.0
2012-10-11,0.4375,0.4375,0.4375,0.4375,0.0,-6536851095552.0
2012-10-12,0.4375,0.4375,0.4375,0.4375,0.0,-6536851095552.0
2012-10-15,0.4375,0.4375,0.4375,0.4375,0.0,-6536851095552.0
2012-10-16,0.4375,0.4375,0.4375,0.4375,0.0,-6536851095552.0
2012-10-17,0.4375,0.4375,0.4375,0.4375,0.0,-6536851095552.0
2012-10-18,0.4375,0.4375,0.4375,0.4375,0.0,-6536851095552.0
2012-10-19,0.4375,0.4375,0.4375,0.4375,0.0,-6536851095552.0
2012-10-22,0.4375,0.4375,0.4375,0.4375,0.0,-6536851095552.0
2012-10-23,0.4375,0.4375,0.4375,0.4375,0.0,-6536851095552.0
2012-10-24,0.4375,0.4375,0.4375,0.4375,0.0,-6536851095552.0
2012-10-25,0.4375,0.4375,0.4375,0.4375,0.0,-6536851095552.0
2012-10-26,0.4375,0.4375,0.4375,0.4375,0.0,-6536851095552.0
2012-10-31,0.4375,0.4375,0.4375,0.4375,0.0,-6536851095552.0
2012-11-01,0.4375,0.4375,0.4375,0.4375,0.0,-6536851095552.0
2012-11-02,0.4375,0.4375,0.4375,0.4375,0.0,-6536851095552.0
2012-11-05,0.4375,0.4375,0.4375,0.4375,0.0,-6536851095552.0
2012-11-06,0.4375,0.4375,0.4375,0.4375,0.0,-6536851095552.0
2012-11-07,0.4375,0.4375,0.4375,0.4375,0.0,-6536851095552.0
2012-11-08,0.4375,0.4375,0.4375,0.4375,0.0,-6536851095552.0
2012-11-09,0.4375,0.4375,0.4375,0.4375,0.0,-6536851095552.0
2012-11-12,0.4375,0.4375,0.4375,0.4375,0.0,-6536851095552.0
2012-11-13,0.4375,0.4375,0.4375,0.4375,0.0,-6536851095552.0
2012-11-14,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.4465999901294708,5000.0,-6672817848320.0
2012-11-15,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.0,-6672817848320.0
2012-11-16,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.0,-6672817848320.0
2012-11-19,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.0,-6672817848320.0
2012-11-20,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.0,-6672817848320.0
2012-11-21,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.0,-6672817848320.0
2012-11-23,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.0,-6672817848320.0
2012-11-26,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.0,-6672817848320.0
2012-11-27,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.0,-6672817848320.0
2012-11-28,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.0,-6672817848320.0
2012-11-29,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.0,-6672817848320.0
2012-11-30,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.0,-6672817848320.0
2012-12-03,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.0,-6672817848320.0
2012-12-04,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.0,-6672817848320.0
2012-12-05,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.0,-6672817848320.0
2012-12-06,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.0,-6672817848320.0
2012-12-07,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.0,-6672817848320.0
2012-12-10,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.0,-6672817848320.0
2012-12-11,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.0,-6672817848320.0
2012-12-12,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.0,-6672817848320.0
2012-12-13,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.0,-6672817848320.0
2012-12-14,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.0,-6672817848320.0
2012-12-17,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.0,-6672817848320.0
2012-12-18,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.0,-6672817848320.0
2012-12-19,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.0,-6672817848320.0
2012-12-20,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.0,-6672817848320.0
2012-12-21,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.0,-6672817848320.0
2012-12-24,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.0,-6672817848320.0
2012-12-26,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.0,-6672817848320.0
2012-12-27,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.4465999901294708,0.0,-6672817848320.0
