Date,High,Low,Open,Close,Volume,Adj Close
2013-05-28,0.5,0.5,0.5,0.5,700.0,0.5
2013-05-29,0.5,0.5,0.5,0.5,300.0,0.5
2013-05-30,0.5,0.5,0.5,0.5,0.0,0.5
2013-05-31,0.5,0.5,0.5,0.5,0.0,0.5
2013-06-03,0.5,0.5,0.5,0.5,0.0,0.5
2013-06-04,0.5,0.5,0.5,0.5,0.0,0.5
2013-06-05,0.5,0.5,0.5,0.5,0.0,0.5
2013-06-06,0.5,0.5,0.5,0.5,0.0,0.5
2013-06-07,0.5,0.5,0.5,0.5,0.0,0.5
2013-06-10,0.5,0.5,0.5,0.5,0.0,0.5
2013-06-11,0.5,0.5,0.5,0.5,0.0,0.5
2013-06-12,0.5,0.5,0.5,0.5,0.0,0.5
2013-06-13,0.5,0.5,0.5,0.5,0.0,0.5
2013-06-14,0.5,0.5,0.5,0.5,0.0,0.5
2013-06-17,0.5,0.5,0.5,0.5,0.0,0.5
2013-06-18,0.5,0.5,0.5,0.5,0.0,0.5
2013-06-19,0.5,0.5,0.5,0.5,0.0,0.5
2013-06-20,0.5,0.5,0.5,0.5,0.0,0.5
2013-06-21,0.5,0.5,0.5,0.5,0.0,0.5
2013-06-24,0.5,0.5,0.5,0.5,0.0,0.5
2013-06-25,0.5,0.5,0.5,0.5,0.0,0.5
2013-06-26,0.5,0.5,0.5,0.5,0.0,0.5
2013-06-27,0.5,0.5,0.5,0.5,0.0,0.5
2013-06-28,0.5,0.5,0.5,0.5,0.0,0.5
2013-07-01,0.5,0.5,0.5,0.5,0.0,0.5
2013-07-02,0.5,0.5,0.5,0.5,0.0,0.5
2013-07-03,0.5,0.5,0.5,0.5,0.0,0.5
2013-07-05,0.5,0.5,0.5,0.5,0.0,0.5
2013-07-08,0.5,0.5,0.5,0.5,0.0,0.5
2013-07-09,0.5,0.5,0.5,0.5,0.0,0.5
2013-07-10,0.5,0.5,0.5,0.5,0.0,0.5
2013-07-11,0.5,0.5,0.5,0.5,0.0,0.5
2013-07-12,0.5,0.5,0.5,0.5,0.0,0.5
2013-07-15,0.5,0.5,0.5,0.5,0.0,0.5
2013-07-16,0.5,0.5,0.5,0.5,0.0,0.5
2013-07-17,0.5,0.5,0.5,0.5,0.0,0.5
2013-07-18,0.5,0.5,0.5,0.5,0.0,0.5
2013-07-19,0.5,0.5,0.5,0.5,0.0,0.5
2013-07-22,0.5,0.5,0.5,0.5,0.0,0.5
2013-07-23,0.5,0.5,0.5,0.5,0.0,0.5
2013-07-24,0.5,0.5,0.5,0.5,0.0,0.5
2013-07-25,0.5,0.5,0.5,0.5,0.0,0.5
2013-07-26,0.5,0.5,0.5,0.5,0.0,0.5
2013-07-29,0.5,0.5,0.5,0.5,0.0,0.5
2013-07-30,0.5,0.5,0.5,0.5,0.0,0.5
2013-07-31,0.5,0.5,0.5,0.5,0.0,0.5
2013-08-01,0.5,0.5,0.5,0.5,0.0,0.5
2013-08-02,0.5,0.5,0.5,0.5,0.0,0.5
2013-08-05,0.5,0.5,0.5,0.5,0.0,0.5
2013-08-06,0.5,0.5,0.5,0.5,0.0,0.5
2013-08-07,0.5,0.5,0.5,0.5,0.0,0.5
2013-08-08,0.5,0.5,0.5,0.5,0.0,0.5
2013-08-09,0.5,0.5,0.5,0.5,0.0,0.5
2013-08-12,0.5,0.5,0.5,0.5,0.0,0.5
2013-08-13,0.5,0.5,0.5,0.5,0.0,0.5
2013-08-14,0.5,0.5,0.5,0.5,0.0,0.5
2013-08-15,0.5,0.5,0.5,0.5,0.0,0.5
2013-08-16,0.5,0.5,0.5,0.5,0.0,0.5
2013-08-19,0.5,0.5,0.5,0.5,0.0,0.5
2013-08-20,0.5,0.5,0.5,0.5,0.0,0.5
2013-08-21,0.5,0.5,0.5,0.5,0.0,0.5
2013-08-22,0.5,0.5,0.5,0.5,0.0,0.5
2013-08-23,0.5,0.5,0.5,0.5,0.0,0.5
2013-08-26,0.5,0.5,0.5,0.5,0.0,0.5
2013-08-27,0.5,0.5,0.5,0.5,0.0,0.5
2013-08-28,0.5,0.5,0.5,0.5,0.0,0.5
2013-08-29,0.5,0.5,0.5,0.5,0.0,0.5
2013-08-30,0.5,0.5,0.5,0.5,0.0,0.5
2013-09-03,0.5,0.5,0.5,0.5,0.0,0.5
2013-09-04,0.5,0.5,0.5,0.5,0.0,0.5
2013-09-05,0.5,0.5,0.5,0.5,0.0,0.5
2013-09-06,0.5,0.5,0.5,0.5,0.0,0.5
2013-09-09,0.5,0.5,0.5,0.5,0.0,0.5
2013-09-10,0.5,0.5,0.5,0.5,0.0,0.5
2013-09-11,0.5,0.5,0.5,0.5,0.0,0.5
2013-09-12,0.5,0.5,0.5,0.5,0.0,0.5
2013-09-13,0.5,0.5,0.5,0.5,0.0,0.5
2013-09-16,0.5,0.5,0.5,0.5,0.0,0.5
2013-09-17,0.5,0.5,0.5,0.5,0.0,0.5
2013-09-18,0.5,0.5,0.5,0.5,0.0,0.5
2013-09-19,0.5,0.5,0.5,0.5,0.0,0.5
2013-09-20,0.5,0.5,0.5,0.5,0.0,0.5
2013-09-23,0.5,0.5,0.5,0.5,0.0,0.5
2013-09-24,0.5,0.5,0.5,0.5,0.0,0.5
2013-09-25,0.5,0.5,0.5,0.5,0.0,0.5
