,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.539259201126766,1.0,9.0,0.41265992737516055
01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.539259201126766,1.0,9.0,0.41265992737516055
01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.539259201126766,1.0,9.0,0.41265992737516055
01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.539259201126766,1.0,9.0,0.41265992737516055
01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.539259201126766,1.0,9.0,0.41265992737516055
01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.539259201126766,1.0,9.0,0.41265992737516055
01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.539259201126766,1.0,9.0,0.41265992737516055
01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.539259201126766,1.0,9.0,0.41265992737516055
01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.539259201126766,1.0,9.0,0.41265992737516055
01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.539259201126766,1.0,9.0,0.41265992737516055
01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.539259201126766,1.0,9.0,0.41265992737516055
01-24,0.0,0.0,0.0,0.0,0.0,0.0,-59.16398637410942,0.0,0.0,0.0,0.0,0.0,10.0,-5.378544215828129
01-25,0.0,0.0,0.0,0.0,0.0,0.0,-59.16398637410942,0.0,0.0,0.0,0.0,0.0,10.0,-5.378544215828129
01-26,0.0,0.0,0.0,0.0,0.0,0.0,-59.16398637410942,0.0,0.0,0.0,0.0,0.0,10.0,-5.378544215828129
01-27,0.0,0.0,0.0,0.0,0.0,0.0,-59.16398637410942,0.0,0.0,0.0,0.0,0.0,10.0,-5.378544215828129
01-28,0.0,0.0,0.0,0.0,0.0,0.0,-59.16398637410942,0.0,0.0,0.0,0.0,0.0,10.0,-5.378544215828129
01-29,0.0,0.0,0.0,0.0,0.0,0.0,-59.16398637410942,0.0,0.0,0.0,0.0,0.0,10.0,-5.378544215828129
01-30,0.0,0.0,0.0,0.0,0.0,0.0,-59.16398637410942,0.0,0.0,0.0,0.0,0.0,10.0,-5.378544215828129
01-31,0.0,0.0,0.0,0.0,0.0,0.0,-59.16398637410942,0.0,0.0,0.0,0.0,0.0,10.0,-5.378544215828129
02-01,0.0,0.0,0.0,0.0,0.0,0.0,-59.16398637410942,0.0,0.0,0.0,0.0,0.0,10.0,-5.378544215828129
02-02,0.0,0.0,0.0,0.0,0.0,0.0,-59.16398637410942,0.0,0.0,0.0,0.0,0.0,10.0,-5.378544215828129
02-03,0.0,0.0,0.0,0.0,0.0,0.0,-59.16398637410942,0.0,0.0,0.0,0.0,0.0,10.0,-5.378544215828129
02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.056071343823014,1.0,9.0,0.3687337585293649
02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.056071343823014,1.0,9.0,0.3687337585293649
02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.056071343823014,1.0,9.0,0.3687337585293649
02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.056071343823014,1.0,9.0,0.3687337585293649
02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.056071343823014,1.0,9.0,0.3687337585293649
02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.056071343823014,1.0,9.0,0.3687337585293649
02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.056071343823014,1.0,9.0,0.3687337585293649
02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.056071343823014,1.0,9.0,0.3687337585293649
02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.056071343823014,1.0,9.0,0.3687337585293649
02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.056071343823014,1.0,9.0,0.3687337585293649
02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.056071343823014,1.0,9.0,0.3687337585293649
02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.056071343823014,1.0,9.0,0.3687337585293649
02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.056071343823014,1.0,9.0,0.3687337585293649
02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
