,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,0.0,0.3899999856948853,0.09999996423721312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,03-17,0.044545449993827126
01-03,0.0,0.0,0.3899999856948853,0.09999996423721312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,03-18,0.044545449993827126
01-04,0.0,0.0,0.3899999856948853,0.09999996423721312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,03-19,0.044545449993827126
01-05,0.0,0.0,0.3899999856948853,0.09999996423721312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,03-20,0.044545449993827126
01-06,0.0,0.0,0.3899999856948853,0.09999996423721312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,03-21,0.044545449993827126
01-07,0.0,0.0,0.3899999856948853,0.09999996423721312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,03-22,0.044545449993827126
01-08,0.0,0.0,0.3899999856948853,0.09999996423721312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,03-23,0.044545449993827126
01-09,0.0,0.0,0.3899999856948853,0.09999996423721312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,03-24,0.044545449993827126
01-10,0.0,0.0,0.3899999856948853,0.09999996423721312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,03-25,0.044545449993827126
01-11,0.0,0.0,0.3899999856948853,0.09999996423721312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,03-26,0.044545449993827126
01-12,0.0,0.0,0.3899999856948853,0.09999996423721312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,03-27,0.044545449993827126
01-13,0.0,0.0,0.3899999856948853,0.09999996423721312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,03-28,0.044545449993827126
01-14,0.0,0.0,0.3899999856948853,0.09999996423721312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,03-29,0.044545449993827126
01-15,0.0,0.0,0.3899999856948853,0.09999996423721312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,03-30,0.044545449993827126
01-16,0.0,0.0,0.3899999856948853,0.09999996423721312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,03-31,0.044545449993827126
01-17,0.0,0.0,0.3899999856948853,0.09999996423721312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,04-01,0.044545449993827126
01-18,0.0,0.0,0.3899999856948853,0.09999996423721312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,04-02,0.044545449993827126
01-19,0.0,0.0,0.3899999856948853,0.09999996423721312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,04-03,0.044545449993827126
01-20,0.0,0.0,0.3899999856948853,0.09999996423721312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,04-04,0.044545449993827126
01-21,0.0,0.0,0.3899999856948853,0.09999996423721312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,04-05,0.044545449993827126
01-22,0.0,0.0,0.3899999856948853,0.09999996423721312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,04-06,0.044545449993827126
01-23,0.0,0.0,0.3899999856948853,0.09999996423721312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,04-07,0.044545449993827126
01-24,0.0,0.0,0.3899999856948853,0.09999996423721312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,04-08,0.044545449993827126
01-25,0.0,0.0,0.3899999856948853,0.09999996423721312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,04-09,0.044545449993827126
